nom_iris,code_iris,DISP_MED21,dist_to_green
Maison Blanche 12,751135112,33760,141.33
Maison Blanche 18,751135118,31150,244.17
Croulebarbe 2,751135202,25410,207.08
Petit Montrouge 4,751145504,34660,299.54
Petit Montrouge 5,751145505,27420,535.37
Plaisance 2,751145602,18830,302.48
Plaisance 10,751145610,28820,31.26
Plaisance 15,751145615,29250,199.86
Saint-Lambert 6,751155706,35530,272.2
Necker 15,751155815,35120,557.75
Necker 17,751155817,34900,522.31
Javel 9,751156009,26220,63.13
Javel 13,751156013,36730,132.14
Auteuil 1,751166101,22250,371.7
Auteuil 2,751166102,28220,532.47
Auteuil 9,751166109,42830,343.47
Auteuil 22,751166122,50840,289.25
Muette 1,751166201,44870,592.22
Muette 20,751166220,43390,206.62
Muette 21,751166221,48570,2.54
Porte Dauphine 3,751166303,49070,228.29
Porte Dauphine 11,751166311,44870,229.36
Chaillot 3,751166403,42330,380.69
Ternes 4,751176504,44310,48.69
Ternes 7,751176507,38970,212.57
Ternes 12,751176512,40300,85.0
Plaine Monceau 2,751176602,44960,124.52
Plaine Monceau 8,751176608,62210,437.68
Épinettes 9,751176809,26330,70.31
Épinettes 11,751176811,28680,163.76
Épinettes 15,751176815,22050,61.38
Grandes Carrières 16,751186916,25650,160.12
Grandes Carrières 25,751186925,18020,216.93
Clignancourt 1,751187001,28200,386.72
Clignancourt 12,751187012,34270,301.91
Goutte d'Or 8,751187108,19220,520.51
Villette 8,751197308,16930,232.43
Amérique 5,751197505,24430,81.32
Amérique 6,751197506,30210,377.23
Amérique 10,751197510,24400,87.6
Amérique 21,751197521,25310,241.53
Amérique 22,751197522,26260,86.17
Combat 6,751197606,20950,0.0
